Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
"Correlated delta sensitivity totals",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,4746F6FE-1414-1A74-41AE-AE1F69CC685A,212,,"KB per bucket_derived","Delta sensitivities correlated and aggregated_derived",,,"1","1",Y,N,"Delta sensitivities correlated and aggregated_derived",N,BA2E3C75-93F0-6645-DA84-7698317A75B1,110,D696800F-974A-9206-9F17-A4CCBE2FD543,103,1,
"Delta sensitivity combinations",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,30856B2F-8B5D-5797-3B69-F42CC7E6F592,213,,"Delta sensitivities correlated and aggregated_derived","Delta sensitivity combinations_derived",,,"*","1",Y,N,"None",N,D696800F-974A-9206-9F17-A4CCBE2FD543,103,759B8717-A824-710D-F330-8402AA7CA111,105,1,
"Delta sensitivity totals",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,8A435338-B4A4-2099-1C8C-79701D2E8625,214,,"KB per bucket_derived","Total delta sensitivity per bucket_derived",,,"1","1",Y,N,"None",N,BA2E3C75-93F0-6645-DA84-7698317A75B1,110,972DD5CD-E47A-05C9-2C63-F05F49DAC772,121,1,
"issuer",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,8D535C8F-2910-B878-51D6-91AC6852B8AC,215,,"Security issue","Organisation",,,"1","*",Y,N,"None",N,58CA352E-DE50-CD54-EECC-B9D98C76ADE6,119,2BCD02A6-76DC-6E84-FA25-9778097C621E,112,1,
"issuerv2",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,F4967460-7822-C4DB-CBDD-8D936D400EDC,216,,"CSR non securitisation risk factor","Organisation",,,"1","*",Y,N,"None",N,41723CFA-4325-D82E-7C07-BBF4BEA5B19D,101,2BCD02A6-76DC-6E84-FA25-9778097C621E,112,1,
"Netted delta sensitivities",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,7DA72B9E-2EF1-FAAD-317E-41FCD05ABF03,217,,"Total delta sensitivity per bucket_derived","Netted delta sensitivities per risk factor and tenor_derived",,,"*","1",Y,N,"None",N,972DD5CD-E47A-05C9-2C63-F05F49DAC772,121,34908E02-53E1-6647-E07D-2921F33DDF28,111,1,
"Netted delta sensitivities_identifier1",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,BD2B0EFA-7A25-AA6C-3982-D69EC42E9EC0,218,,"Delta sensitivity combinations_derived","Netted delta sensitivities per risk factor and tenor_derived",,,"1","1",Y,N,"Netted delta sensitivities per risk factor and tenor_derived",N,759B8717-A824-710D-F330-8402AA7CA111,105,34908E02-53E1-6647-E07D-2921F33DDF28,111,1,
"Netted delta sensitivities_identifier2",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,C6775864-884A-D068-4C4E-E2E66454A681,219,,"Delta sensitivity combinations_derived","Netted delta sensitivities per risk factor and tenor_derived",,,"1","1",Y,N,"Netted delta sensitivities per risk factor and tenor_derived",N,759B8717-A824-710D-F330-8402AA7CA111,105,34908E02-53E1-6647-E07D-2921F33DDF28,111,1,
"Relation_12",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,61F68422-DB16-E699-396E-7F7E05929587,220,,"Risk measure","Risk factor",,,"1","*",Y,N,"None",N,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,115,E7C4E383-AABB-082F-EAE7-A59D01E27340,114,1,
"Relation_13",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,C5D7EE96-E799-F6F8-6B9D-E05B4B34EE4A,221,,"Risk measure","Security or exchange tradable derivative position",,,"1","*",Y,N,"None",N,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,115,7F7861A5-652D-E468-5DF9-35EEB805D06C,120,1,
"Relation_14",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,D3347CF1-61F7-16B2-E4CA-9AE29D36646D,222,,"Netted delta sensitivities per risk factor and tenor_derived","Delta sensitivity",,,"*","*",Y,N,"None",N,34908E02-53E1-6647-E07D-2921F33DDF28,111,74FDE155-399A-5886-2419-C144B9B3EE90,104,0,
"Relation_5",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,51581835-0EB3-A20D-FE96-99D73DC26D32,223,,"Equity risk factor","Equity issue",,,"1","1",Y,N,"Equity issue",N,C479F3DA-D525-3B6D-27B8-E0950E385F50,107,4E098DB2-F59B-3809-E8F2-F09EE3F6EB0E,106,1,
"Relation_6",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,609E646F-44F1-8B17-8BD3-D4B7E0B8E361,224,,"Securitisation non CTP risk factor","Securitisation",,,"1","1",Y,N,"Securitisation",N,8ABC1D49-C1B4-877C-ED2B-EBC1BFA1363B,118,B23842D1-E84A-6E39-1C9B-B10557BD6BC5,116,1,
"risk factorv2",6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,99,002FA71D-BBA7-E42F-5E61-D0C4C62C5D57,225,,"Netted delta sensitivities per risk factor and tenor_derived","Risk factor",,,"1","1",Y,N,"Risk factor",N,34908E02-53E1-6647-E07D-2921F33DDF28,111,E7C4E383-AABB-082F-EAE7-A59D01E27340,114,1,
